player_name,team,conf,GP,Min_per,dunksmade,stops,pts
DeAndrae Ross,South Alabama,SB,26,29.5,,49.9644,3.8846
Pooh Williams,Utah St.,WAC,34,60.9,,111929,5.9412
Jesus Verdejo,South Florida,BE,27,72,,115021,12.1852
Mike Hornbuckle,Pepperdine,WCC,30,44.5,,84.1698,4.9333
Anthony Brown,Pacific,BW,33,56.2,,128028,7.5758
Nick Rodgers,Butler,Horz,6,0.7,,1.67346,0
Dana Smith,Longwood,ind,27,77.8,,177853,15.2593
Matt Beck,Fordham,A10,19,10.4,,13.5667,0.4737
Justin Drummond,Wagner,NEC,30,82.8,,204494,10.5
Jamal Smith,Wagner,NEC,30,80.4,,172.97,11.8667
Tyrell Biggs,Pittsburgh,BE,34,57.9,,127819,6.4706
Alex Hornat,Connecticut,BE,2,0.1,,0.183625,0
Simon Harris,North Carolina St.,ACC,19,18.4,,34.3618,1.2632
Gary Wilkinson,Utah St.,WAC,34,79.9,,184235,16.8824
Tawrence Walton,Chicago St.,ind,30,67.3,,147075,7.4333
Garrett Temple,LSU,SEC,35,75.2,,206993,7.0571
Carlos Strong,Boston University,AE,12,16.6,,30.6622,6.4167
Sherrod Smith,Boston University,AE,10,2.8,,6.64928,0.7
Eulis Stephens,Detroit,Horz,26,55.5,,100.76,8.0769
Scott Brittain,Boston University,AE,27,52.1,,118696,7.4444
Brett Gifford,Albany,AE,31,45.7,,108.42,2.5161
Valdas Sirutis,Boston University,AE,19,8.6,,17.0818,0.4737
Corey Lowe,Boston University,AE,29,84.8,,170404,17.1724
Grant Leiendecker,Butler,Horz,25,12.4,,19.6055,1.68
Patrick Bouli,Manhattan,MAAC,21,36.7,,75.3066,2381
Antoine Pearson,Manhattan,MAAC,30,59.3,,125822,7.5333
Jamel Ferguson,Manhattan,MAAC,21,21.8,,47.7475,3.2381
Chris Harris,Navy,Pat,30,85,,178942,15.4333
T.J. Topercer,Navy,Pat,16,7.2,,13.9378,1
Brandon Adams,Manhattan,MAAC,29,33.9,,79.7776,3.4138
Darryl Crawford,Manhattan,MAAC,30,69.5,,161207,14.4333
Carlin Hughes,Saint Mary's,WCC,32,59.8,,122345,8.3125
Jabari Deshields,Alabama A&M,SWAC,11,6.5,,17.3097,1.3636
Charles Jenkins,Hofstra,CAA,31,86.2,,199.39,19.5161
Pierre Curtis,James Madison,CAA,35,74.8,,192881,9.3714
Greg Washington,Hofstra,CAA,30,48.7,,151286,5.6333
Matt Parker,James Madison,CAA,20,9.6,,21.1052,2.05
Shane Laurie,Missouri St.,MVC,12,20.5,,37.0412,3.5
Alonzo Gee,Alabama,SEC,30,80.2,,179248,15.1667
Brandon Hollinger,Alabama,SEC,24,20.3,,34.3119,2.0833
Tyrese Rice,Boston College,ACC,33,80.3,,186791,16.8788
Evan Neisler,Drexel,CAA,28,60,,129205,7.9286
Mike Wilson,Chicago St.,ind,30,64.5,,132547,7.9667
Moussa Camara,Binghamton,AE,23,25,,43.0736,3.3913
Otis Polk,Bowling Green,MAC,31,55.5,,124692,6.0323
Chris Knight,Bowling Green,MAC,23,30.3,,73.8249,6.1739
Marc Larson,Bowling Green,MAC,16,26.8,,50.1905,3.3125
Landon Milbourne,Maryland,ACC,35,71.7,,182427,11.4286
Eric Hayes,Maryland,ACC,35,72.6,,172447,10.2857
Jerome Burney,Maryland,ACC,9,4.8,,12.7488,0.8889
Levi Knutson,Colorado,B12,29,38.4,,70.7817,3.9655
Jeremy Wise,Southern Miss,CUSA,29,89.5,,178318,16.6897
Frank Hassell,Old Dominion,CAA,35,46.6,,135203,7.4857
Josh Akognon,Cal St. Fullerton,BW,31,89.4,,169646,23.8387
Kyle Bjornstad,Oregon St.,P10,8,0.8,,1.27064,0
Randy Spaid,St. Francis PA,NEC,18,10.2,,18.9265,1.4444
James Doran,Pacific,BW,33,38.1,,72.8064,6.1212
Carlton Fay,Southern Illinois,MVC,30,64.7,,125707,10.1667
Leon Young,Loyola Chicago,Horz,20,32.3,,58.8798,7.3
Kyle Taber,Indiana,B10,30,62.1,,141531,4.3333
Paul Campbell,Hawaii,WAC,28,31.7,,62.9277,2.9286
Adhar Mayen,Hawaii,WAC,29,44.3,,79.5373,4.1379
Kareem Nitoto,Hawaii,WAC,29,72,,139092,7.3103
Zach Hahn,Butler,Horz,29,35.1,,62.9834,5.1724
Matt Howard,Butler,Horz,31,70,,180.3,15.0323
Shawn Vanzant,Butler,Horz,28,29.8,,61.7333,3.6071
Monty Sanders,Elon,SC,29,44.2,,93.0848,5.7586
Lawrence Dixon,Holy Cross,Pat,19,7.4,,11.2464,1.2632
Greg McCarthy,Holy Cross,Pat,28,29,,68.9047,3.6786
Alex Vander Baan,Holy Cross,Pat,26,41.6,,96.4714,5.2692
Juwann James,James Madison,CAA,23,39.7,,112539,14.1304
Kyle Swanston,James Madison,CAA,34,69.8,,158.26,11.2353
J.R. Blount,Loyola Chicago,Horz,31,84.6,,168295,13.1613
Elliott Cole,Vanderbilt,SEC,10,1.5,,3.23271,0.3
Gerard Smith,VCU,CAA,14,1.5,,2.72692,0
George Barbour,Monmouth,NEC,26,16.7,,41.7528,2.8462
James Hett,Monmouth,NEC,28,68.2,,120958,4.1071
Julian McClurkin,North Carolina A&T,MEAC,29,38.6,,78.9353,2.3793
